33870-7,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
29265-6,7,4,18,27,32,7,5,23,26,4,19,3,22,23,13,8,27,30,11,25,8,5,10,13,18
14423-8,22,22,27,16,17,8,31,14,20,22,26,17,23,29,14,5,6,9,4,5,9,12,11,18,19
23658-8,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
19000-9,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
14749-6,23,28,24,5,12,9,6,5,12,15,5,20,24,4,22,24,17,25,29,17,19,6,26,19,20
1920-8,24,8,12,28,25,10,26,27,13,23,10,9,13,18,23,16,4,10,16,21,31,7,5,25,23
18878-9,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
20442-0,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
1751-7,29,19,19,29,8,18,27,15,17,16,11,10,28,5,20,9,30,31,17,27,10,13,21,22,24
13317-3,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
15076-3,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
35184-1,25,9,9,30,13,26,13,19,5,19,32,21,5,30,4,10,7,19,23,22,11,30,28,26,13
2085-9,30,10,5,9,26,4,14,20,31,5,30,14,29,6,21,17,5,2,18,6,3,14,29,27,29
26464-8,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
925-8,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
1994-3,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
1798-8,19,16,20,21,27,19,15,24,6,6,20,18,6,31,5,29,8,26,19,18,23,8,18,14,30
1959-6,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
1975-2,3,2,3,1,3,3,4,1,4,2,2,1,2,1,2,2,9,11,1,2,1,1,2,2,3
18928-2,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
14578-9,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
934-0,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
4671-4,31,23,28,22,28,20,7,9,14,24,12,15,14,24,15,30,10,3,5,23,26,15,12,28,14
2069-3,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
2111-3,5,24,6,10,4,21,32,10,21,17,27,27,15,32,6,25,11,12,30,24,27,16,13,5,31
17861-6,32,25,29,14,29,30,23,16,15,29,21,22,30,19,30,18,28,13,24,28,4,25,30,15,32
2075-0,20,11,13,31,5,16,28,6,27,25,22,23,7,12,7,26,18,4,32,7,28,26,22,23,7
933-2,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
2132-9,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
19080-1,14,17,14,11,9,31,16,21,22,26,23,16,25,14,24,19,23,27,12,11,32,19,6,6,33
26478-8,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
14747-0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
20565-8,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2028-9,8,5,10,15,18,22,11,25,18,20,6,4,26,33,25,31,12,28,33,29,12,27,14,29,25
18955-S,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
2093-3,26,12,21,6,19,11,17,28,23,30,13,24,18,20,8,6,13,20,6,26,13,31,15,7,8
18998-5,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
890-4,21,29,30,17,20,27,29,11,7,7,24,5,19,7,16,27,14,5,31,12,14,32,23,9,21
14764-5,15,26,25,23,6,28,30,17,32,8,7,11,20,8,9,20,31,14,20,13,24,9,27,8,4
2143-6,9,30,26,24,14,23,33,29,8,9,8,28,21,9,31,32,19,15,13,8,29,17,31,24,26
2039-6,6,31,31,32,21,24,8,7,9,10,14,29,8,15,26,7,20,6,21,14,25,28,19,16,9
1971-1,2,1,2,4,7,1,3,2,1,11,3,2,3,13,1,3,2,7,14,3,5,3,4,4,1
18906-8,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
6768-6,33,32,15,18,30,32,9,30,16,12,15,25,31,21,10,11,15,16,7,9,6,10,24,10,10
1988-5,27,33,11,12,22,5,18,31,10,31,16,30,9,16,11,21,24,21,8,15,20,18,7,20,5
74774-1,16,20,16,25,10,12,12,8,28,13,28,19,16,10,27,12,25,32,22,30,33,22,16,11,15
1995-0,10,21,22,7,15,13,19,12,24,18,9,12,32,25,28,22,26,22,9,31,15,33,17,30,27
1759-0,17,6,17,33,11,6,24,13,25,27,17,31,10,26,12,13,21,29,25,10,7,29,20,31,28
20629-2,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
1968-7,4,13,1,3,1,2,1,3,3,1,1,6,4,3,3,4,3,1,3,4,2,2,1,1,11
35192-4,1,3,4,2,2,14,2,4,2,3,4,7,1,2,17,1,1,8,2,1,16,4,3,3,2
883-9,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
1003-3,28,18,7,13,23,15,25,18,33,32,18,32,12,11,32,14,16,17,10,32,21,20,32,32,6
54439-5,11,14,32,19,16,25,10,32,29,21,25,26,17,27,33,28,22,24,26,33,30,21,8,21,16
3082-S,12,15,23,20,24,29,20,22,19,33,33,13,27,17,18,33,32,23,27,16,17,11,25,33,17
30522-7,13,27,8,8,31,17,21,33,30,28,31,33,11,22,29,23,29,33,28,19,22,23,33,17,22
