33870-7,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
29265-6,18,25,26,37,41,31,34,37,31,37,3,28,16,3,15,30,42,30,23,20,3,22,28,30,3
14423-8,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
23658-8,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
19000-9,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
14749-6,3,26,27,18,32,38,44,16,32,10,8,20,3,31,30,41,8,10,24,2,4,12,29,23,36
1920-8,25,3,13,3,42,32,8,27,26,11,40,21,4,12,16,10,43,3,40,3,5,36,30,36,41
18878-9,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
20442-0,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1751-7,39,41,34,20,3,39,35,8,3,34,31,34,5,42,31,31,44,11,2,4,31,31,42,42,4
13317-3,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
15076-3,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
35184-1,12,30,3,38,24,33,9,19,4,17,24,6,6,4,39,3,9,43,25,21,21,13,31,14,21
2085-9,13,31,14,8,8,23,18,38,12,38,25,22,39,37,8,42,33,12,26,32,22,37,12,24,28
26464-8,4,15,35,21,43,3,19,28,40,39,9,23,40,13,40,32,18,22,15,41,32,3,3,37,37
925-8,26,4,41,9,4,40,20,9,27,35,10,7,23,32,17,11,34,23,3,13,33,4,13,15,29
1994-3,19,17,36,22,13,4,10,10,5,12,11,8,10,5,9,33,45,13,41,42,6,23,14,16,14
1798-8,40,18,42,23,5,24,21,11,41,36,16,9,28,14,32,34,3,31,16,5,7,32,5,17,42
1959-6,20,27,37,10,9,41,36,12,28,40,4,35,11,20,18,4,4,4,4,6,43,38,32,25,15
1975-2,14,5,4,24,14,42,11,29,21,18,41,29,7,38,33,35,35,14,17,22,23,5,19,31,30
18928-2,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
14578-9,41,32,43,25,44,43,22,20,6,3,42,30,17,6,41,5,24,24,18,43,8,14,15,43,22
934-0,27,6,15,4,33,34,3,3,13,13,12,10,41,7,10,15,19,44,27,44,40,19,20,3,31
4671-4,5,7,5,5,25,10,37,13,7,41,43,43,18,21,42,16,20,25,28,45,14,15,6,26,38
2069-3,6,42,6,6,26,15,23,17,33,42,26,44,8,8,19,23,10,45,5,33,24,24,7,32,43
2111-3,28,19,16,39,15,16,45,21,34,19,44,24,19,22,25,24,25,5,29,23,44,16,43,38,23
17861-6,34,33,38,40,6,25,38,4,35,20,45,11,42,43,34,43,11,36,37,14,25,39,21,39,24
2075-0,29,20,11,26,27,44,24,39,22,43,32,25,24,23,26,36,46,37,6,15,41,25,44,4,44
933-2,15,21,7,11,16,35,12,5,8,28,5,12,29,44,3,25,26,15,42,24,15,40,8,18,45
